Genename,ORF,beta
YNR021W,YNR021W,-0.215577982
RTT101,YJL047C,-0.215512117
HYP2,YEL034W,-0.215499861
RPL13A,YDL082W,-0.215447838
LEU1,YGL009C,-0.215376073
TRM11,YOL124C,-0.215373371
KES1,YPL145C,-0.215356702
MAK10,YEL053C,-0.215345552
RPS15,YOL040C,-0.215322451
YDR266C,YDR266C,-0.215319855
SPO22,YIL073C,-0.215249414
GPI10,YGL142C,-0.215104068
YRF1-2,YER190W,-0.214999011
RPL3,YOR063W,-0.214902329
RPL11B,YGR085C,-0.214898874
YDR118W-A,YDR118W-A,-0.214847552
RMD9,YGL107C,-0.214789692
RDR1,YOR380W,-0.214788808
YLR146W-A,YLR146W-A,-0.214742064
RPS20,YHL015W,-0.214732524
ERT1,YBR239C,-0.214669529
MET28,YIR017C,-0.21461601
ALG11,YNL048W,-0.214549174
SPC19,YDR201W,-0.214524208
YPL272C,YPL272C,-0.214495235
SIZ1,YDR409W,-0.214481993
RPP1,YHR062C,-0.214426984
TOM6,YOR045W,-0.214399136
SPB4,YFL002C,-0.21438649
RPL41A,YDL184C,-0.214371891
SMF1,YOL122C,-0.214333561
PRS4,YBL068W,-0.214274207
RPL34B,YIL052C,-0.214266277
MFA1,YDR461W,-0.214232213
RPL23A,YBL087C,-0.214212514
RIX1,YHR197W,-0.214104033
CUL3,YGR003W,-0.214073929
YOR097C,YOR097C,-0.214015283
RPL7A,YGL076C,-0.214006903
YBR053C,YBR053C,-0.213992275
EFT1,YOR133W,-0.213966319
CMC2,YBL059C-A,-0.213901682
KAR2,YJL034W,-0.213899293
RPL22A,YLR061W,-0.213557203
YIL082W-A,YIL082W-A,-0.213482342
ALG13,YGL047W,-0.213459859
CHO2,YGR157W,-0.213412954
FKH1,YIL131C,-0.213394797
ABD1,YBR236C,-0.213365947
MRPL22,YNL177C,-0.213261116
HIP1,YGR191W,-0.213122578
IDH2,YOR136W,-0.212967782
RPL27A,YHR010W,-0.212965051
ALG2,YGL065C,-0.21295285
HEM12,YDR047W,-0.212868041
BLS1,YLR408C,-0.212851457
YKR045C,YKR045C,-0.212846649
GDT1,YBR187W,-0.21279031
MPP6,YNR024W,-0.212757496
RIB2,YOL066C,-0.212698143
CRT10,YOL063C,-0.212663156
HLJ1,YMR161W,-0.212614358
YOR283W,YOR283W,-0.21258029
OTU2,YHL013C,-0.212572519
GRS1,YBR121C,-0.212551893
STE6,YKL209C,-0.212493474
SOF1,YLL011W,-0.212432843
HIF1,YLL022C,-0.212410404
KAR4,YCL055W,-0.212292702
SAG1,YJR004C,-0.212292406
ABZ1,YNR033W,-0.212268294
YRF1-4,YLR466W,-0.212180441
YBR242W,YBR242W,-0.212141475
GLG2,YJL137C,-0.212128147
MUM3,YOR298W,-0.212092096
RPS9B,YBR189W,-0.212083499
YAH1,YPL252C,-0.212067173
YAP6,YDR259C,-0.212060006
RPL40A,YIL148W,-0.212019184
PSO2,YMR137C,-0.211949479
GRX5,YPL059W,-0.21183449
RPP1B,YDL130W,-0.211780209
RSM27,YGR215W,-0.211779643
CLA4,YNL298W,-0.211704465
YDL063C,YDL063C,-0.21164042
ECM9,YKR004C,-0.211534772
SEC39,YLR440C,-0.21151823
JEM1,YJL073W,-0.211453303
MSW1,YDR268W,-0.211428471
SWT1,YOR166C,-0.211408881
YHR131C,YHR131C,-0.211407879
LEU9,YOR108W,-0.211398108
TLG1,YDR468C,-0.21130661
PDX1,YGR193C,-0.211228282
RPC40,YPR110C,-0.211224271
PGC1,YPL206C,-0.211220593
MRPL38,YKL170W,-0.21120964
YGL108C,YGL108C,-0.211141664
RPS2,YGL123W,-0.211044996
YJL147C,YJL147C,-0.210947703
YOL029C,YOL029C,-0.210912559
VPS60,YDR486C,-0.210838353
YSH1,YLR277C,-0.210829102
RPL43B,YJR094W-A,-0.210811392
HSK3,YKL138C-A,-0.210781166
ARO80,YDR421W,-0.210659989
ELC1,YPL046C,-0.210640688
SNT2,YGL131C,-0.210519159
YDR352W,YDR352W,-0.210497012
RPS18A,YDR450W,-0.210466584
CUE1,YMR264W,-0.21039656
YDL121C,YDL121C,-0.210326278
VPS75,YNL246W,-0.210273652
RAD10,YML095C,-0.21015898
RPL21B,YPL079W,-0.210025636
YGL165C,YGL165C,-0.210014427
ATP1,YBL099W,-0.209910699
SSC1,YJR045C,-0.209778857
YLR253W,YLR253W,-0.209778581
RPS17B,YDR447C,-0.209765953
DCN1,YLR128W,-0.209761341
MRP49,YKL167C,-0.20972125
ZIP1,YDR285W,-0.209624729
RPL31A,YDL075W,-0.209613044
MDM20,YOL076W,-0.209596936
YIR024C,YIR024C,-0.209510987
TSR1,YDL060W,-0.209374914
VPS16,YPL045W,-0.209366959
RPL33B,YOR234C,-0.209300229
YMR085W,YMR085W,-0.209278407
ALG6,YOR002W,-0.209143094
RTC6,YPL183W-A,-0.209128999
CIT1,YNR001C,-0.209116286
KXD1,YGL079W,-0.209105417
ARO4,YBR249C,-0.208915358
ERB1,YMR049C,-0.208816652
RPS1B,YML063W,-0.20876724
RPL26B,YGR034W,-0.208724489
MOB2,YFL034C-B,-0.20870661
CCC1,YLR220W,-0.208684273
PHA2,YNL316C,-0.208588732
OLA1,YBR025C,-0.208483866
SSH1,YBR283C,-0.208476912
PER1,YCR044C,-0.208456016
DEG1,YFL001W,-0.208399835
RPS23B,YPR132W,-0.208362302
MSR1,YHR091C,-0.208362129
HLR1,YDR528W,-0.208312474
DCP1,YOL149W,-0.208277147
MPC54,YOR177C,-0.208256669
SGV1,YPR161C,-0.208191107
YJR012C,YJR012C,-0.208163614
YKL027W,YKL027W,-0.208155412
YMR259C,YMR259C,-0.208070378
RPS7B,YNL096C,-0.208058064
AMD2,YDR242W,-0.207990868
MNN11,YJL183W,-0.20796629
YJR116W,YJR116W,-0.207958867
YMR030W-A,YMR030W-A,-0.207884936
MRPL32,YCR003W,-0.20788275
NOC4,YPR144C,-0.207836089
EFB1,YAL003W,-0.207780754
CGR1,YGL029W,-0.207681068
KAR1,YNL188W,-0.207674742
ERG24,YNL280C,-0.207607078
IBA57,YJR122W,-0.20759366
RPS19A,YOL121C,-0.207567124
SSF1,YHR066W,-0.207478826
MTC2,YKL098W,-0.207469181
NMD5,YJR132W,-0.207440078
MCM10,YIL150C,-0.207430354
CDC60,YPL160W,-0.207395294
RPL42A,YNL162W,-0.20738462
RAD61,YDR014W,-0.20733219
YCL021W-A,YCL021W-A,-0.20732331
YNR061C,YNR061C,-0.20726922
IES5,YER092W,-0.207235629
LCD1,YDR499W,-0.207147287
RPB8,YOR224C,-0.207089789
PRD1,YCL057W,-0.207085627
MGR2,YPL098C,-0.207075216
SDC1,YDR469W,-0.207069243
RPL19A,YBR084C-A,-0.207017461
TAH18,YPR048W,-0.206888787
CIN4,YMR138W,-0.206846602
IRC7,YFR055W,-0.2066354
PWP1,YLR196W,-0.206611867
MRPL51,YPR100W,-0.206597689
HSP10,YOR020C,-0.206425538
GIM5,YML094W,-0.206308725
NMT1,YLR195C,-0.206288544
KEL3,YPL263C,-0.206145563
RPS19B,YNL302C,-0.206047879
SRP14,YDL092W,-0.206002557
YMR185W,YMR185W,-0.205954723
HTA2,YBL003C,-0.205937177
TYW1,YPL207W,-0.205894156
CPR5,YDR304C,-0.205856654
GCV2,YMR189W,-0.205838966
ERG5,YMR015C,-0.205808543
TOF1,YNL273W,-0.205777924
YNR064C,YNR064C,-0.205773465
YDR444W,YDR444W,-0.205744732
RPS21B,YJL136C,-0.205737549
GCD11,YER025W,-0.205713492
YNR014W,YNR014W,-0.205607263
ELO1,YJL196C,-0.205463994
MRPL24,YMR193W,-0.205379747
RSR1,YGR152C,-0.205362878
RPS6A,YPL090C,-0.205294445
RPA43,YOR340C,-0.205210039
MMM1,YLL006W,-0.205181758
IDH1,YNL037C,-0.205046435
TRS85,YDR108W,-0.205008421
MSH1,YHR120W,-0.204949446
CAD1,YDR423C,-0.20481162
SAC1,YKL212W,-0.204810788
ISM1,YPL040C,-0.204800305
YMR122W-A,YMR122W-A,-0.2047992
RNT1,YMR239C,-0.204723741
SUP45,YBR143C,-0.204704871
ZRC1,YMR243C,-0.204694572
UBP12,YJL197W,-0.204652861
NUP133,YKR082W,-0.204629775
LTP1,YPR073C,-0.20458233
SSZ1,YHR064C,-0.204546136
HCA4,YJL033W,-0.204516073
HGH1,YGR187C,-0.204440781
DRS1,YLL008W,-0.20435523
NOG1,YPL093W,-0.204300184
ILS1,YBL076C,-0.204237538
RPS12,YOR369C,-0.204218736
TIM9,YEL020W-A,-0.204123767
SIR2,YDL042C,-0.204100951
GDH1,YOR375C,-0.204034554
ACO1,YLR304C,-0.203926481
GRX3,YDR098C,-0.203885419
CDC33,YOL139C,-0.203877921
TUB2,YFL037W,-0.203866966
RPA12,YJR063W,-0.203746913
COA1,YIL157C,-0.203695323
THI2,YBR240C,-0.20366661
PRT1,YOR361C,-0.203652837
APS3,YJL024C,-0.203641137
YNL035C,YNL035C,-0.20351414
RLF2,YPR018W,-0.203496999
GPA1,YHR005C,-0.203448492
RPL26A,YLR344W,-0.203435327
ATP23,YNR020C,-0.20342383
EXO84,YBR102C,-0.203350081
AQR1,YNL065W,-0.203346955
MRM1,YOR201C,-0.203306741
TRM44,YPL030W,-0.203145452
YBL055C,YBL055C,-0.203032101
RPL17A,YKL180W,-0.203028534
SHY1,YGR112W,-0.202921923
EFT2,YDR385W,-0.20289106
GCD6,YDR211W,-0.202646213
GEP4,YHR100C,-0.20259073
MNN2,YBR015C,-0.202559418
MUP1,YGR055W,-0.202523551
RPL20B,YOR312C,-0.202516335
RPL43A,YPR043W,-0.202439317
PEX18,YHR160C,-0.20237963
ADK1,YDR226W,-0.202358893
RCY1,YJL204C,-0.202128509
NUP85,YJR042W,-0.202098134
PHO90,YJL198W,-0.202072774
SEE1,SEE1,-0.202061111
RPL32,YBL092W,-0.201944535
YDR341C,YDR341C,-0.201938811
HHF2,YNL030W,-0.201794615
YDL073W,YDL073W,-0.201784408
RPL20A,YMR242C,-0.20176893
ASF1,YJL115W,-0.201708813
EXG1,YLR300W,-0.201651766
SMD2,YLR275W,-0.201632559
RPS17A,YML024W,-0.201456026
SUP35,YDR172W,-0.2013868
QRI1,YDL103C,-0.201367397
DPH2,YKL191W,-0.20133538
DBP7,YKR024C,-0.201124287
MAK5,YBR142W,-0.201040963
PCM1,YEL058W,-0.200972442
PET117,YER058W,-0.200961767
SNN1,YNL086W,-0.200783655
YCL002C,YCL002C,-0.200766587
PAM18,YLR008C,-0.200717599
DYS1,YHR068W,-0.200684714
BET5,YML077W,-0.200667133
MDM38,YOL027C,-0.200638761
RPL37B,YDR500C,-0.200620123
MTW1,YAL034W-A,-0.200602665
TMA46,YOR091W,-0.200594573
FYV1,YDR024W,-0.200510856
AVT3,YKL146W,-0.20040271
YNL010W,YNL010W,-0.200360779
BNI4,YNL233W,-0.200316429
RFM1,YOR279C,-0.200296813
YEF3,YLR249W,-0.200253218
KAP114,YGL241W,-0.20022488
NOP12,YOL041C,-0.200204819
UBA2,YDR390C,-0.200183964
IMG1,YCR046C,-0.200166963
BST1,YFL025C,-0.200140955
SQT1,YIR012W,-0.200065687
YPT10,YBR264C,-0.200012713
ACS2,YLR153C,-0.199821498
HCS1,YKL017C,-0.199798807
ISW1,YBR245C,-0.199731669
YNL122C,YNL122C,-0.199665668
PRM2,YIL037C,-0.199623965
COX17,YLL009C,-0.199567543
RPS22B,YLR367W,-0.199563079
RSM10,YDR041W,-0.199529909
HST3,YOR025W,-0.199480384
SFG1,YOR315W,-0.199422295
PSY4,YBL046W,-0.199362763
ACF2,YLR144C,-0.199331502
PRI2,YKL045W,-0.199278808
RPS1A,YLR441C,-0.199259965
CSE4,YKL049C,-0.199088813
PRP9,YDL030W,-0.19906386
RPL4B,YDR012W,-0.199004452
TIF11,YMR260C,-0.198965419
SPT14,YPL175W,-0.198948122
LAS1,YKR063C,-0.198889644
CYB5,YNL111C,-0.198784957
YGL132W,YGL132W,-0.198781886
THS1,YIL078W,-0.198732136
SRB7,YDR308C,-0.198676878
YML119W,YML119W,-0.198528656
YHL026C,YHL026C,-0.198492529
RPL11A,YPR102C,-0.19847765
YPL229W,YPL229W,-0.198433281
IMG2,YCR071C,-0.198397187
SEF1,YBL066C,-0.19837173
MRE11,YMR224C,-0.198315924
SRP40,YKR092C,-0.198309927
MSL1,YIR009W,-0.198242293
NOB1,YOR056C,-0.198234608
SCJ1,YMR214W,-0.197972783
YGL159W,YGL159W,-0.197949751
RPL14B,YHL001W,-0.197919683
MSM1,YGR171C,-0.19787185
DUG2,YBR281C,-0.197772216
RDL2,YOR286W,-0.197721251
HDA1,YNL021W,-0.197721131
CPR6,YLR216C,-0.197664041
JJJ2,YJL162C,-0.197657796
AIM34,YMR003W,-0.197610273
NBA1,YOL070C,-0.197570892
GIM4,YEL003W,-0.197536686
RPL24A,YGL031C,-0.197528931
RRS1,YOR294W,-0.197408829
ATG22,YCL038C,-0.197384846
SSP1,YHR184W,-0.19735598
EMW1,YNL313C,-0.197304613
POS5,YPL188W,-0.197289888
NDE1,YMR145C,-0.197158248
ASP1,YDR321W,-0.197043697
RTT103,YDR289C,-0.196993613
VPH1,YOR270C,-0.196952261
MRPL31,YKL138C,-0.196832324
ARO7,YPR060C,-0.19679526
IPI3,YNL182C,-0.196770429
RPS26B,YER131W,-0.196738193
RPL22B,YFL034C-A,-0.196733379
YKE2,YLR200W,-0.19668317
COX20,YDR231C,-0.196587037
MTC7,YEL033W,-0.196508767
GCD1,YOR260W,-0.196494324
MRC1,YCL061C,-0.196447108
CDC12,YHR107C,-0.19643865
YGR125W,YGR125W,-0.196438491
MRPL4,YLR439W,-0.196374662
YML108W,YML108W,-0.196353045
VTA1,YLR181C,-0.19634006
UTP22,YGR090W,-0.196294978
UBA4,YHR111W,-0.196290518
TOP2,YNL088W,-0.196217162
VPS62,YGR141W,-0.196030657
NCS2,YNL119W,-0.196028224
PAM16,YJL104W,-0.196014924
ISA2,YPR067W,-0.195923239
MUC1,MUC1,-0.195704937
RPS16A,YMR143W,-0.195704031
BCK2,YER167W,-0.195653016
RPC17,YJL011C,-0.195594732
MRH4,YGL064C,-0.195591436
YLF2,YHL014C,-0.19555329
YKR043C,YKR043C,-0.195527865
TTI1,YKL033W,-0.195504244
FYV5,YCL058C,-0.195364776
AIM29,YKR074W,-0.195352212
POL5,YEL055C,-0.19530378
POR1,YNL055C,-0.195265981
UTP30,YKR060W,-0.195263127
UTP13,YLR222C,-0.195257913
RAD51,YER095W,-0.195201547
SHE2,YKL130C,-0.195163949
TMA64,YDR117C,-0.195147692
SEC4,YFL005W,-0.195044828
CBF5,YLR175W,-0.195037658
SAD1,YFR005C,-0.194996197
RPL40B,YKR094C,-0.19489126
FAF1,YIL019W,-0.194842293
RRP36,YOR287C,-0.194819826
BPH1,YCR032W,-0.194810904
ELP3,YPL086C,-0.19476266
GEP3,YOR205C,-0.194759051
RRP14,YKL082C,-0.194689955
KAP123,YER110C,-0.194671704
CDS1,YBR029C,-0.194643588
SSF2,YDR312W,-0.194484334
EGD2,YHR193C,-0.194447038
COX4,YGL187C,-0.194414053
BRX1,YOL077C,-0.194398184
GRX4,YER174C,-0.194396047
PAP2,YOL115W,-0.194384672
RPL12B,YDR418W,-0.194365394
LTV1,YKL143W,-0.194333778
SEC21,YNL287W,-0.194318471
YBL094C,YBL094C,-0.194299279
YGR012W,YGR012W,-0.194183937
TFG2,YGR005C,-0.194109992
YPL216W,YPL216W,-0.194109132
RKM2,YDR198C,-0.194082061
PUF6,YDR496C,-0.194048354
MTG1,YMR097C,-0.1940409
ACN9,ACN9,-0.194039709
RPL21A,YBR191W,-0.193981971
NSE5,YML023C,-0.193901753
RFS1,YBR052C,-0.193890413
YJL193W,YJL193W,-0.193851624
NUP82,YJL061W,-0.193779968
MRPL27,YBR282W,-0.193763705
MRP51,YPL118W,-0.193744437
YSP1,YSP1,-0.193641623
GET3,YDL100C,-0.193453825
TRM8,YDL201W,-0.193333041
BAS1,YKR099W,-0.19325809
ROK1,YGL171W,-0.193234323
PTI1,YGR156W,-0.193092916
CSN9,YDR179C,-0.193010773
LAT1,YNL071W,-0.192837941
RGD2,YFL047W,-0.192783877
MAE1,YKL029C,-0.192770993
YAE1,YJR067C,-0.192770551
ASE1,YOR058C,-0.192758978
STE14,YDR410C,-0.192739643
RPL28,YGL103W,-0.192731186
NOP7,YGR103W,-0.192699234
YJL077W-A,YJL077W-A,-0.192630188
COS3,YML132W,-0.192483343
RAD9,YDR217C,-0.192371531
TRZ1,YKR079C,-0.192279921
RPS21A,YKR057W,-0.192195888
CHS3,YBR023C,-0.192110131
NOP14,YDL148C,-0.19206156
CNS1,YBR155W,-0.192059592
YDR179W-A,YDR179W-A,-0.192049813
ALG3,YBL082C,-0.192046732
STU1,YBL034C,-0.19196403
FPR4,YLR449W,-0.191937204
MKT1,YNL085W,-0.19189809
ATP20,YPR020W,-0.191895074
ZUO1,YGR285C,-0.191870422
YOR296W,YOR296W,-0.191839482
STE3,YKL178C,-0.19182606
RPL36B,YPL249C-A,-0.191825333
YDR115W,YDR115W,-0.191780274
SWI3,YJL176C,-0.191762984
UTP14,YML093W,-0.19153207
RPL35B,YDL136W,-0.191510868
THI80,YOR143C,-0.191403849
VMA3,YEL027W,-0.191257216
YND1,YER005W,-0.191200996
RBD2,YPL246C,-0.191171673
YOR093C,YOR093C,-0.191106725
GOS1,YHL031C,-0.191088839
SET1,YHR119W,-0.19089878
PEX21,YGR239C,-0.190828649
ARF3,YOR094W,-0.190821589
RFA3,YJL173C,-0.190795456
YLR419W,YLR419W,-0.190748123
SWS2,YNL081C,-0.190678978
RPL6A,YML073C,-0.190507461
OCT1,YKL134C,-0.190446618
RPL24B,YGR148C,-0.190446115
TEF2,YBR118W,-0.190427219
PTM1,YKL039W,-0.190423171
EMG1,YLR186W,-0.190412819
MYO2,YOR326W,-0.190312193
HST2,YPL015C,-0.190192589
AFT2,YPL202C,-0.190104099
RRP4,YHR069C,-0.190102699
RPL35A,YDL191W,-0.190102023
SPT21,YMR179W,-0.190063909
RPC34,YNR003C,-0.189778709
TFB2,YPL122C,-0.189728387
RVB1,YDR190C,-0.189597429
CWH43,YCR017C,-0.189584402
RPL42B,YHR141C,-0.189558952
TPM2,YIL138C,-0.18949338
NAF1,YNL124W,-0.189407846
RPA14,YDR156W,-0.189378022
SMY2,YBR172C,-0.189350082
QCR2,YPR191W,-0.189337622
TYW3,YGL050W,-0.1891865
YER071C,YER071C,-0.189047311
MRP10,YDL045W-A,-0.189033797
PCP1,YGR101W,-0.188974452
YBR292C,YBR292C,-0.18896261
YNR025C,YNR025C,-0.188948566
HAP4,YKL109W,-0.188797711
TRP2,YER090W,-0.188701149
RPC10,YHR143W-A,-0.188665912
SIP1,YDR422C,-0.188663276
SPC97,YHR172W,-0.188522358
YFR006W,YFR006W,-0.1884991
ARP6,YLR085C,-0.188456572
AAP1,YHR047C,-0.188421482
MYO4,YAL029C,-0.188401218
YNL181W,YNL181W,-0.18839248
TEF1,YPR080W,-0.188334515
BRF1,YGR246C,-0.188310184
SLX9,YGR081C,-0.188294568
BFR2,YDR299W,-0.188071769
TIF1,YKR059W,-0.188069771
GTT3,YEL017W,-0.187981256
NOP13,YNL175C,-0.187952113
MTR3,YGR158C,-0.18792389
CPR3,YML078W,-0.187882011
EMP70,YLR083C,-0.187871697
POL31,YJR006W,-0.1877261
CCA1,YER168C,-0.187699095
YML018C,YML018C,-0.187603719
RPS7A,YOR096W,-0.187556795
DBP5,YOR046C,-0.187530511
SES1,YDR023W,-0.187477845
ADH3,YMR083W,-0.187410731
DOT1,YDR440W,-0.187323894
YGL185C,YGL185C,-0.187285103
SKI3,YPR189W,-0.187274431
RPS28A,YOR167C,-0.187199727
YEH2,YLR020C,-0.18707697
POG1,YIL122W,-0.187059481
UTP5,YDR398W,-0.186954149
NDI1,YML120C,-0.18685328
YAR1,YPL239W,-0.186767225
RPL33A,YPL143W,-0.186763235
XKS1,YGR194C,-0.186755376
ASN1,YPR145W,-0.186689284
NCE101,YJL205C,-0.186677483
NOP56,YLR197W,-0.1866315
YBL083C,YBL083C,-0.186595256
PPH22,YDL188C,-0.186578216
PEP3,YLR148W,-0.186550546
POL3,YDL102W,-0.186539737
RER2,YBR002C,-0.186480118
YHR219W,YHR219W,-0.186360188
PRP31,YGR091W,-0.186270124
RPL23B,YER117W,-0.186234517
NTR2,YKR022C,-0.186181255
YDR210W,YDR210W,-0.186047245
YTM1,YOR272W,-0.186003028
YGR151C,YGR151C,-0.186002517
RHO4,YKR055W,-0.185983521
RPP2B,YDR382W,-0.185980711
AIM1,AIM1,-0.185910611
YNR029C,YNR029C,-0.185907029
PRP43,YGL120C,-0.185898151
HTS1,YPR033C,-0.18588386
VTS1,YOR359W,-0.185834415
SEH1,YGL100W,-0.185826106
FSH1,YHR049W,-0.185800029
TYS1,YGR185C,-0.185740252
YKL066W,YKL066W,-0.185696728
RIB3,YDR487C,-0.185666244
YIG1,YPL201C,-0.185623587
TSR2,YLR435W,-0.185610885
RPA49,YNL248C,-0.185594688
GAA1,YLR088W,-0.185590611
ELP2,YGR200C,-0.185479514
HCM1,YCR065W,-0.185453474
PSE1,YMR308C,-0.185416716
YGR015C,YGR015C,-0.185411568
RSM7,YJR113C,-0.185398319
RRP12,YPL012W,-0.185379307
UTP18,YJL069C,-0.185333209
RPC82,YPR190C,-0.185257273
CSE1,YGL238W,-0.185220999
KRS1,YDR037W,-0.185065272
UBP8,YMR223W,-0.185043988
HAS1,YMR290C,-0.184990317
TIM23,YNR017W,-0.184959553
YBR191W-A,YBR191W-A,-0.184890962
MRPL40,YPL173W,-0.184860463
SSK22,YCR073C,-0.184852305
YLR294C,YLR294C,-0.184848458
CTR86,YCR054C,-0.184794169
ERG12,YMR208W,-0.184779031
ACT1,YFL039C,-0.184750251
ERG2,YMR202W,-0.1847479
TIM11,YDR322C-A,-0.184689686
RKI1,YOR095C,-0.184649039
FIN1,YDR130C,-0.184639316
MSG5,YNL053W,-0.184620228
GCN3,YKR026C,-0.184618141
EFM1,YHL039W,-0.184588822
RPA34,YJL148W,-0.184540144
FYV4,YHR059W,-0.184538471
SNU66,YOR308C,-0.184518009
YLR042C,YLR042C,-0.184460153
MHR1,YDR296W,-0.184401028
YKL162C,YKL162C,-0.184131329
SUT1,YGL162W,-0.184128726
SRB5,YGR104C,-0.184037283
RPS30B,YOR182C,-0.183927115
RPS29A,YLR388W,-0.183913436
PAC2,YER007W,-0.183649846
YDR061W,YDR061W,-0.183434826
HOT13,YKL084W,-0.18342351
PTH2,YBL057C,-0.183378301
HXT10,YFL011W,-0.183348333
MXR1,YER042W,-0.183323056
NPL6,YMR091C,-0.183315914
KTR2,YKR061W,-0.183308575
KEI1,YDR367W,-0.183258892
URA1,YKL216W,-0.183116943
RPC19,YNL113W,-0.183105512
YJR023C,YJR023C,-0.1829365
YMR130W,YMR130W,-0.182923612
CSH1,YBR161W,-0.182915421
GDS1,YOR355W,-0.182828201
RPL13B,YMR142C,-0.18278559
RPE1,YJL121C,-0.182707845
FCF2,YLR051C,-0.182610482
MRPL36,YBR122C,-0.182609557
DBP3,YGL078C,-0.18259906
INN1,YNL152W,-0.182580349
NIP7,YPL211W,-0.182539433
DCG1,YIR030C,-0.182337551
RPL37A,YLR185W,-0.182123778
GUA1,YMR217W,-0.182075094
YHR009C,YHR009C,-0.182044281
STM1,YLR150W,-0.182034717
RFC5,YBR087W,-0.181971039
TAF4,YMR005W,-0.181968835
RPS26A,YGL189C,-0.181897605
RPS3,YNL178W,-0.181838598
MDH1,YKL085W,-0.181791581
GPI1,YGR216C,-0.181729839
UTP10,YJL109C,-0.181678856
PRM4,YPL156C,-0.181663191
BUB1,YGR188C,-0.181640627
PET309,YLR067C,-0.181624834
VPS9,YML097C,-0.181541125
YDR374W-A,YDR374W-A,-0.181367134
ENA1,YDR040C,-0.181354917
YEL043W,YEL043W,-0.181040705
COR1,YBL045C,-0.181026768
YHR003C,YHR003C,-0.181005068
GEA1,YJR031C,-0.180972848
RRP6,YOR001W,-0.180955397
SKP2,YNL311C,-0.180914183
RRP8,YDR083W,-0.180804657
YMR045C,YMR045C,-0.180750621
PMD1,YER132C,-0.180576164
CCZ1,YBR131W,-0.180524842
MRP7,YNL005C,-0.180414769
GIR2,YDR152W,-0.180388463
CLN3,YAL040C,-0.180337769
PRP11,YDL043C,-0.180310892
TFB5,YDR079C-A,-0.180184883
MDM30,YLR368W,-0.180169493
PWP2,YCR057C,-0.180066834
APN1,YKL114C,-0.18001875
LYS12,YIL094C,-0.179991327
NAT3,YPR131C,-0.179987966
UBC12,YLR306W,-0.179912555
YCK1,YHR135C,-0.179876261
NOP1,YDL014W,-0.179784276
CBP1,YJL209W,-0.17964378
RPS10A,YOR293W,-0.179431654
NUP100,YKL068W,-0.179373091
RPS11A,YDR025W,-0.179369695
SHE3,YBR130C,-0.179358926
YLR132C,YLR132C,-0.179258187
OCH1,YGL038C,-0.179224938
RRP9,YPR137W,-0.179217394
GCS1,YDL226C,-0.179202582
STE12,YHR084W,-0.179138389
ATP14,YLR295C,-0.179129858
YLH47,YPR125W,-0.17908969
TWF1,YGR080W,-0.179073028
URB1,YKL014C,-0.179022559
FLD1,FLD1,-0.17898731
MRPL13,YKR006C,-0.17888272
SDO1,YLR022C,-0.178703501
DIM1,YPL266W,-0.178701407
FMP25,YLR077W,-0.178646955
TIF35,YDR429C,-0.178551867
ALB1,YJL122W,-0.178474489
RSM28,YDR494W,-0.178446372
RPS18B,YML026C,-0.178389355
SLK19,YOR195W,-0.178362452
NUP188,YML103C,-0.178283872
UMP1,YBR173C,-0.178227089
TPO2,YGR138C,-0.17810029
YOL092W,YOL092W,-0.178069034
YDL144C,YDL144C,-0.178044322
SWI4,YER111C,-0.178037067
ARH1,YDR376W,-0.178032276
UBA3,YPR066W,-0.178031869
CYT1,YOR065W,-0.177994451
RUD3,YOR216C,-0.177916444
RPL38,YLR325C,-0.177827379
SEC23,YPR181C,-0.177821399
RPL34A,YER056C-A,-0.177791911
SUR7,YML052W,-0.177776658
NOC3,YLR002C,-0.177772434
IRC18,YJL037W,-0.177747932
XRS2,YDR369C,-0.177724212
APM3,YBR288C,-0.177663486
SGD1,YLR336C,-0.17766243
SPC2,YML055W,-0.177572614
EKI1,YDR147W,-0.177475315
VPS41,YDR080W,-0.177345655
IRR1,YIL026C,-0.177277678
RRP5,YMR229C,-0.177266692
NCL1,YBL024W,-0.177200888
AVO1,YOL078W,-0.177030498
UBP2,YOR124C,-0.176946673
BUR2,YLR226W,-0.176942507
MNN9,YPL050C,-0.176919717
IMP3,YHR148W,-0.176899709
OSM1,YJR051W,-0.176859008
SMI1,YGR229C,-0.176826527
RIX7,YLL034C,-0.17682205
HBS1,YKR084C,-0.176805201
PGI1,YBR196C,-0.176768521
SWP82,YFL049W,-0.176765865
COG2,YGR120C,-0.17675498
SET2,YJL168C,-0.176607255
PHO81,YGR233C,-0.176491922
SEN34,YAR008W,-0.176377238
YNL165W,YNL165W,-0.176325549
JAC1,YGL018C,-0.176221158
IBD2,YNL164C,-0.176144012
YJR120W,YJR120W,-0.17609524
AIM13,AIM13,-0.175977803
RIP1,YEL024W,-0.175964339
ATG3,YNR007C,-0.175936673
ENP1,YBR247C,-0.17591029
MLF3,YNL074C,-0.175834525
YPT31,YER031C,-0.175753209
GIM3,YNL153C,-0.17573819
YAL037W,YAL037W,-0.175560297
RPS16B,YDL083C,-0.175527929
SHS1,YDL225W,-0.175479758
CBP3,YPL215W,-0.175466991
DSK2,YMR276W,-0.175439845
YOL075C,YOL075C,-0.175289473
NOP15,YNL110C,-0.175284262
GCN20,YFR009W,-0.175248944
GSP1,YLR293C,-0.175202019
