Genename,ORF,beta
PRY2,YKR013W,-0.302337594
GLE2,YER107C,-0.302014871
POL30,YBR088C,-0.301730831
SED4,YCR067C,-0.301684939
TAD3,YLR316C,-0.301452325
YLR049C,YLR049C,-0.301212043
ARG7,YMR062C,-0.301126579
PCF11,YDR228C,-0.301069743
CLN2,YPL256C,-0.301044326
ERG4,YGL012W,-0.300916119
CIS3,YJL158C,-0.300830647
ERP1,YAR002C-A,-0.300235301
YGR111W,YGR111W,-0.300030579
POL1,YNL102W,-0.300021601
HAT2,YEL056W,-0.299084521
CLN1,YMR199W,-0.297983196
LAG1,YHL003C,-0.29714046
RPB11,YOL005C,-0.297077214
CUE2,YKL090W,-0.297067403
PCL1,YNL289W,-0.297048153
CIT3,YPR001W,-0.297005026
HIS5,YIL116W,-0.296493009
ATF1,YOR377W,-0.296332571
AXL2,YIL140W,-0.295498323
YDR089W,YDR089W,-0.295171601
SOL3,YHR163W,-0.295113354
MEF1,YLR069C,-0.294481076
CDC14,YFR028C,-0.294243727
MET2,YNL277W,-0.293326693
ICE2,YIL090W,-0.292501038
BAP2,YBR068C,-0.292076041
MET18,YIL128W,-0.291171978
YGR205W,YGR205W,-0.290820146
DOG2,YHR043C,-0.290601177
SLM5,YCR024C,-0.290406829
BSC6,YOL137W,-0.290307903
WSC2,YNL283C,-0.289751058
CDC28,YBR160W,-0.289408464
NNF2,YGR089W,-0.289351711
BOP2,YLR267W,-0.288599636
YPR169W-A,YPR169W-A,-0.287696875
LTE1,YAL024C,-0.287119335
STE2,YFL026W,-0.287047137
TOM71,YHR117W,-0.286878537
YIR021W-A,YIR021W-A,-0.286326879
HOM2,YDR158W,-0.286153173
SOR1,YJR159W,-0.286047379
STT3,YGL022W,-0.286041225
ERD1,YDR414C,-0.285710322
NFI1,YOR156C,-0.285485252
LOT5,YKL183W,-0.285347923
YSC84,YHR016C,-0.284909734
PCC1,YKR095W-A,-0.284357438
CDC45,YLR103C,-0.283993116
DIA4,YHR011W,-0.283745481
MON1,YGL124C,-0.2830645
PRP45,YAL032C,-0.283001738
CYC1,YJR048W,-0.282952706
YAR068W,YAR068W,-0.282845645
PEX29,YDR479C,-0.28253883
TAF9,YMR236W,-0.282254839
SRM1,YGL097W,-0.282171251
MES1,YGR264C,-0.281466442
HMG2,YLR450W,-0.281437827
SWT21,YNL187W,-0.28064592
SUR4,SUR4,-0.279475258
TRM5,YHR070W,-0.279404749
MSD1,YPL104W,-0.278027204
LYS9,YNR050C,-0.277409197
RPL8B,YLL045C,-0.277239953
PEP5,YMR231W,-0.277018721
YSP3,YOR003W,-0.27671689
SNF6,YHL025W,-0.276677932
MRPL25,YGR076C,-0.276434747
SAM2,YDR502C,-0.27631986
ILV3,YJR016C,-0.276252614
MET6,YER091C,-0.276144662
STB2,YMR053C,-0.275938035
GOT1,YMR292W,-0.275902066
SCW4,YGR279C,-0.275491467
BUD31,YCR063W,-0.275423106
URA7,YBL039C,-0.274851806
SMP3,YOR149C,-0.274792544
YJR039W,YJR039W,-0.274538459
MEP3,YPR138C,-0.274015397
MKC7,YDR144C,-0.273794312
SYC1,YOR179C,-0.273749579
YPL168W,YPL168W,-0.273386035
ATP11,YNL315C,-0.273201161
SCT1,YBL011W,-0.272562438
YOL107W,YOL107W,-0.272260855
KEG1,YFR042W,-0.271661054
CLB5,YPR120C,-0.271524574
FLC3,YGL139W,-0.270939975
HPA3,YEL066W,-0.270841294
YPR170W-B,YPR170W-B,-0.27068611
NUP53,YMR153W,-0.270540786
UTR2,YEL040W,-0.270539781
CKB2,YOR039W,-0.270322007
LCB2,YDR062W,-0.27015263
CDC21,YOR074C,-0.270070281
PMT1,YDL095W,-0.270023299
APA2,YDR530C,-0.270011989
FAP1,YNL023C,-0.269585649
TIM17,YJL143W,-0.269148171
VPS25,YJR102C,-0.268439092
CYM1,YDR430C,-0.268081131
PES4,YFR023W,-0.267742168
LSB1,YGR136W,-0.267712156
HCH1,YNL281W,-0.267443834
PMT2,YAL023C,-0.266576147
VAM6,YDL077C,-0.266573103
PUS1,YPL212C,-0.266469809
CGI121,YML036W,-0.266053264
AIF1,YNR074C,-0.265261821
MSE1,YOL033W,-0.264865181
KTR3,YBR205W,-0.264849689
NAT1,YDL040C,-0.264740981
HFI1,YPL254W,-0.264709325
CCT8,YJL008C,-0.26447383
YFR032C-B,YFR032C-B,-0.264263595
GFA1,YKL104C,-0.264139017
ATP12,YJL180C,-0.264072308
UTP8,YGR128C,-0.263911017
GND1,YHR183W,-0.26376824
MMR1,YLR190W,-0.26364281
RRN5,YLR141W,-0.262513334
MAS2,YHR024C,-0.26212127
APL2,YKL135C,-0.261767496
YNL285W,YNL285W,-0.261681847
FUN26,YAL022C,-0.261506097
TUF1,YOR187W,-0.261465543
SBH1,YER087C-B,-0.261159205
MNN5,YJL186W,-0.260796972
IKI1,YHR187W,-0.259562139
DUN1,YDL101C,-0.258859808
APT1,YML022W,-0.258539707
MRP1,YDR347W,-0.258350563
ARO1,YDR127W,-0.25819629
LOS1,YKL205W,-0.258159363
YIL001W,YIL001W,-0.258124917
SAM4,YPL273W,-0.257947614
CTM1,YHR109W,-0.257862235
MRF1,YGL143C,-0.257711757
ELG1,YOR144C,-0.257630338
YJR011C,YJR011C,-0.257585595
ILV5,YLR355C,-0.257223959
FET3,YMR058W,-0.256975595
MAL12,YGR292W,-0.256523442
ENO2,YHR174W,-0.256442773
HUT1,YPL244C,-0.256409935
YLR046C,YLR046C,-0.2562486
DOP1,YDR141C,-0.256119381
HSL7,YBR133C,-0.255405927
NRK1,YNL129W,-0.255402239
YFH1,YDL120W,-0.255270032
SCC2,YDR180W,-0.255197201
TUB3,YML124C,-0.255060574
RKM1,YPL208W,-0.25495494
YLR177W,YLR177W,-0.254804432
HEM13,YDR044W,-0.254556757
RPS24B,YIL069C,-0.254429001
BAT2,YJR148W,-0.254405889
YJR107W,YJR107W,-0.254383365
YHM2,YMR241W,-0.254075084
YDL211C,YDL211C,-0.253882389
CDC9,YDL164C,-0.253861516
UTP21,YLR409C,-0.253473528
CTR1,YPR124W,-0.253438486
SER2,YGR208W,-0.253410008
WBP1,YEL002C,-0.253401232
SMC3,YJL074C,-0.253360813
PPA2,YMR267W,-0.252819118
ADO1,YJR105W,-0.252674976
GNP1,YDR508C,-0.252556712
PEP7,YDR323C,-0.252499709
RPS31,YLR167W,-0.252295258
YGR021W,YGR021W,-0.25210802
BFR1,YOR198C,-0.251918487
MRPL10,YNL284C,-0.251901312
SPT10,YJL127C,-0.251880684
SNZ3,YFL059W,-0.251859207
HPM1,YIL110W,-0.251806319
MSS1,YMR023C,-0.251740492
MDL1,YLR188W,-0.251582075
GNT1,YOR320C,-0.251483537
PHO13,YDL236W,-0.251453346
HMI1,YOL095C,-0.251426205
RPA135,YPR010C,-0.251142316
BUD13,YGL174W,-0.250471906
HEK2,YBL032W,-0.250117355
SAY1,YGR263C,-0.25005245
ISU2,YOR226C,-0.249953001
RPL6B,YLR448W,-0.249891458
THR1,YHR025W,-0.249891141
SFH1,YLR321C,-0.249666079
TPC1,YGR096W,-0.249615187
CCM1,YGR150C,-0.249602097
SRP101,YDR292C,-0.249281751
AST1,YBL069W,-0.249182136
RSM25,YIL093C,-0.248934926
TEF4,YKL081W,-0.248894415
DBF2,YGR092W,-0.248734058
ALK2,YBL009W,-0.24840683
HIM1,YDR317W,-0.248386652
ARD1,YHR013C,-0.248021514
VPS1,YKR001C,-0.247766256
CLU1,YMR012W,-0.247718424
VRG4,YGL225W,-0.247717823
RPL10,YLR075W,-0.247654448
RPL2B,YIL018W,-0.247441153
RPP0,YLR340W,-0.247405131
HOG1,YLR113W,-0.247388335
PMT6,YGR199W,-0.24734558
DED81,YHR019C,-0.247329454
YOR277C,YOR277C,-0.247311585
MRPL3,YMR024W,-0.247211747
CWH41,YGL027C,-0.247118359
GDH2,YDL215C,-0.24706735
BNA7,YDR428C,-0.247049309
MRPL7,YDR237W,-0.246956822
MID1,YNL291C,-0.246809719
ILV2,YMR108W,-0.246711203
SNX3,YOR357C,-0.246524587
STT4,YLR305C,-0.246428418
BUD4,YJR092W,-0.246425808
GOR1,YNL274C,-0.246255949
AIM4,YBR194W,-0.246135379
YJL181W,YJL181W,-0.246063831
HTB2,YBL002W,-0.246032141
CDC10,YCR002C,-0.246029204
YGR137W,YGR137W,-0.246027985
MRPL35,YDR322W,-0.245761233
MUP3,YHL036W,-0.245608472
MAM33,YIL070C,-0.245251223
DUS1,YML080W,-0.245232402
FEN1,FEN1,-0.244734647
SST2,YLR452C,-0.244419775
RPS0B,YLR048W,-0.244396638
MDM31,YHR194W,-0.244387041
HSP60,YLR259C,-0.244356674
MRP13,YGR084C,-0.244243068
SKG6,YHR149C,-0.244195618
ASN2,YGR124W,-0.243780165
FAR1,YJL157C,-0.243617999
YBR206W,YBR206W,-0.243615473
MRH1,YDR033W,-0.243300266
